Symbol,Environment_Score,Social_Score,Governance_Score,Controversy_Score,Total_ESG_Risk_Score
SYN0038,41.99,45.14,66.71,5.0,13.34
SYN0039,52.26,90.23,68.46,5.0,27.71
SYN0040,62.21,22.63,53.89,0.0,11.65
SYN0041,61.4,71.85,22.73,3.0,13.8
SYN0042,40.21,51.66,7.37,2.0,13.51
SYN0043,11.2,51.16,37.67,2.0,16.49
SYN0044,26.93,33.81,44.82,1.0,19.08
SYN0045,32.03,,52.26,3.0,15.24
SYN0046,71.03,40.98,47.08,2.0,12.59
SYN0047,73.6,31.72,35.51,1.0,7.27
SYN0048,19.1,34.31,37.62,1.0,19.31
SYN0049,39.87,65.38,28.22,0.0,8.98
SYN0050,81.45,24.43,23.43,5.0,4.45
SYN0051,43.76,73.5,59.49,4.0,18.11
SYN0052,58.4,31.4,75.13,2.0,12.55
SYN0053,,19.18,34.03,2.0,11.31
SYN0054,55.81,18.55,68.92,0.0,13.7
SYN0055,38.46,20.66,43.24,1.0,14.96
SYN0056,19.93,21.92,76.49,5.0,12.8
SYN0057,55.3,56.34,69.47,0.0,20.43
SYN0058,61.84,91.41,59.91,0.0,28.02
SYN0059,18.66,41.75,26.4,5.0,20.91
SYN0060,83.23,82.77,27.88,3.0,22.05
SYN0061,5.66,43.84,48.99,0.0,13.07
SYN0062,7.86,68.98,29.65,2.0,4.2
SYN0063,20.17,23.63,72.17,4.0,11.23
SYN0064,,55.54,45.63,2.0,10.49
SYN0065,46.25,43.51,64.08,2.0,15.62
SYN0066,41.83,37.38,60.73,3.0,12.1
SYN0067,46.6,32.81,80.35,3.0,15.73
SYN0068,33.57,45.32,43.1,5.0,15.46
SYN0069,77.11,4.7,53.55,1.0,0.25
SYN0070,33.44,55.05,59.19,1.0,12.12
SYN0071,39.7,40.58,45.02,0.0,14.89
SYN0072,22.55,58.06,52.33,3.0,10.79
SYN0073,43.67,68.48,45.69,3.0,13.39
SYN0074,69.08,91.68,60.46,2.0,34.37
SYN0075,78.91,10.35,56.74,4.0,4.0
SYN0076,57.34,28.13,60.84,2.0,11.78
SYN0077,49.06,14.36,88.93,1.0,8.85
SYN0078,38.18,42.22,63.75,3.0,14.56
SYN0079,57.99,9.0,34.05,2.0,10.5
SYN0080,32.86,26.08,50.58,2.0,14.01
SYN0081,55.94,56.47,,2.0,16.5
SYN0082,46.17,24.85,,5.0,13.8
SYN0083,52.05,43.22,88.31,1.0,19.31
SYN0084,70.94,16.84,63.76,1.0,6.59
SYN0085,20.43,74.31,48.87,3.0,10.25
SYN0086,49.97,29.32,87.66,0.0,13.07
SYN0087,43.03,33.87,23.3,0.0,16.27
SYN0088,54.47,51.07,50.77,3.0,14.6
SYN0089,54.0,15.32,80.37,3.0,10.87
SYN0090,51.56,11.89,76.03,3.0,11.93
SYN0091,68.41,35.95,34.32,0.0,9.7
SYN0092,77.06,37.68,38.82,5.0,11.85
SYN0093,40.06,42.17,45.31,2.0,13.54
SYN0094,29.93,64.21,47.5,0.0,11.01
SYN0095,15.09,87.18,62.4,1.0,7.7
SYN0096,81.1,60.78,34.63,1.0,14.76
SYN0097,24.84,72.32,,2.0,8.14
SYN0098,39.18,83.03,48.83,2.0,16.73
SYN0099,43.72,65.56,60.86,2.0,17.82
SYN0100,30.0,72.48,45.9,2.0,14.89
SYN0101,42.06,34.31,44.75,5.0,14.64
SYN0102,77.4,58.33,80.35,5.0,29.73
SYN0103,5.27,59.48,32.16,2.0,9.58
SYN0104,31.1,21.56,36.57,5.0,19.5
SYN0105,32.71,30.52,59.49,4.0,11.85
SYN0106,56.03,30.67,29.2,4.0,13.96
SYN0107,20.8,,47.46,1.0,17.76
SYN0108,35.03,31.36,65.16,2.0,13.49
SYN0109,30.61,54.89,67.75,2.0,12.84
SYN0110,45.91,30.74,55.45,0.0,11.35
SYN0111,,34.37,59.32,0.0,14.64
SYN0112,26.09,67.7,40.61,3.0,9.01
SYN0113,63.39,35.03,50.75,2.0,13.67
SYN0114,70.01,51.12,64.61,4.0,24.05
SYN0115,56.2,30.94,66.63,4.0,16.22
SYN0116,76.41,38.84,66.0,0.0,12.66
SYN0117,28.95,43.0,23.73,5.0,16.03
SYN0118,56.39,52.83,57.7,2.0,17.82
SYN0119,31.77,41.08,86.22,3.0,12.74
SYN0120,60.73,43.86,,5.0,15.15
SYN0121,47.12,68.03,29.38,3.0,13.8
SYN0122,56.79,47.8,83.34,0.0,18.38
SYN0123,23.08,38.83,60.94,1.0,16.7
SYN0124,65.3,45.97,76.72,2.0,18.83
SYN0125,72.7,71.19,37.25,0.0,20.66
SYN0126,6.05,46.47,83.54,1.0,5.09
SYN0127,12.5,52.67,55.63,4.0,10.14
SYN0128,63.11,59.66,60.44,0.0,20.96
SYN0129,35.67,49.88,38.55,1.0,15.53
SYN0130,42.81,,48.1,3.0,13.53
SYN0131,15.77,65.45,78.09,0.0,8.11
SYN0132,46.02,79.66,71.16,1.0,18.56
SYN0133,54.81,29.7,56.18,5.0,13.33
SYN0134,,65.63,51.85,3.0,22.23
SYN0135,80.45,79.91,4.07,5.0,10.54
SYN0136,14.2,46.31,41.84,2.0,14.07
SYN0137,37.59,53.14,43.92,3.0,12.37
SYN0138,50.27,67.14,48.58,1.0,15.18
SYN0139,51.03,52.33,47.1,2.0,18.17
SYN0140,52.75,38.28,42.45,1.0,13.35
SYN0141,36.93,57.14,27.84,4.0,11.77
SYN0142,33.64,64.27,77.49,1.0,14.31
SYN0143,34.61,29.09,,1.0,12.29
SYN0144,17.42,42.84,33.95,2.0,14.58
SYN0145,30.9,63.66,46.95,2.0,14.8
SYN0146,45.05,65.33,38.91,1.0,13.44
SYN0147,74.39,63.97,23.4,2.0,16.98
SYN0148,69.2,24.57,23.37,1.0,7.25
SYN0149,75.02,76.62,29.81,5.0,19.54
SYN0150,28.94,51.86,41.48,3.0,15.02
SYN0151,41.39,66.55,48.61,5.0,11.04
SYN0152,72.52,29.78,69.21,5.0,13.84
SYN0153,82.28,66.0,58.26,3.0,26.99
SYN0154,50.55,37.85,,4.0,17.09
SYN0155,22.78,32.36,45.49,0.0,17.69
SYN0156,40.76,16.05,55.42,5.0,12.48
SYN0157,42.41,23.8,36.62,2.0,17.21
SYN0158,55.36,51.82,49.43,4.0,15.94
SYN0159,72.8,63.83,72.57,1.0,25.58
SYN0160,42.37,21.36,62.08,0.0,12.36
SYN0161,77.8,52.16,55.22,5.0,19.85
SYN0162,75.98,59.24,43.85,2.0,21.11
SYN0163,74.74,44.71,58.66,0.0,16.74
SYN0164,25.77,56.45,,3.0,13.03
SYN0165,60.2,33.01,82.03,0.0,15.25
SYN0166,17.82,75.17,69.23,2.0,10.35
SYN0167,,33.9,35.77,4.0,19.29
SYN0168,71.85,57.89,61.05,4.0,24.92
SYN0169,,49.62,49.03,2.0,14.59
SYN0170,22.98,65.23,90.4,2.0,11.94
SYN0171,70.23,5.28,58.61,5.0,6.49
SYN0172,40.59,73.72,35.23,1.0,11.84
SYN0173,27.53,44.97,77.65,0.0,11.92
SYN0174,32.67,16.59,,0.0,16.25
SYN0175,71.76,54.72,9.77,4.0,12.34
SYN0176,13.9,64.53,64.15,2.0,8.56
SYN0177,76.41,30.28,62.44,0.0,10.32
SYN0178,74.05,43.14,83.4,1.0,22.89
SYN0179,41.25,56.62,30.56,0.0,13.86
SYN0180,29.38,10.09,52.73,4.0,18.18
SYN0181,21.49,29.35,40.56,2.0,17.74
SYN0182,83.28,38.26,25.85,0.0,7.55
SYN0183,25.37,22.8,37.37,1.0,19.03
SYN0184,20.33,81.89,74.42,3.0,8.61
SYN0185,,69.19,52.93,3.0,17.97
SYN0186,81.51,59.27,83.6,4.0,32.42
SYN0187,75.15,57.31,26.5,0.0,11.95
SYN0188,25.37,81.3,67.9,0.0,12.09
SYN0189,38.26,38.78,84.13,0.0,14.92
SYN0190,12.75,60.02,,2.0,12.35
SYN0191,21.8,52.29,84.52,4.0,11.17
SYN0192,,52.53,46.14,3.0,16.85
SYN0193,49.12,60.06,6.01,1.0,9.84
SYN0194,10.52,24.69,28.64,3.0,22.96
SYN0195,48.84,28.6,41.8,3.0,14.91
SYN0196,25.01,31.69,62.96,1.0,14.04
SYN0197,23.5,48.53,83.73,4.0,16.52
SYN0198,44.35,28.08,56.47,2.0,15.92
SYN0199,36.46,54.29,32.05,0.0,13.92
SYN0200,81.49,30.54,70.72,2.0,13.37
SYN0201,45.81,42.04,62.7,4.0,15.65
SYN0202,25.95,74.49,29.97,4.0,7.5
SYN0203,65.52,41.27,52.94,1.0,11.17
SYN0204,42.4,,69.76,4.0,12.62
SYN0205,59.17,72.59,67.71,2.0,24.36
SYN0206,34.15,24.95,29.08,2.0,14.34
SYN0207,56.43,62.36,77.96,0.0,21.16
SYN0208,13.36,65.51,24.34,5.0,9.99
SYN0209,57.15,24.41,78.08,5.0,11.94
SYN0210,35.62,90.06,77.04,1.0,16.93
SYN0211,19.89,59.21,77.71,3.0,10.29
SYN0212,48.76,68.67,16.9,4.0,14.42
SYN0213,16.52,14.76,61.57,3.0,18.85
SYN0214,37.73,40.27,25.23,1.0,13.83
SYN0215,,58.08,71.18,5.0,20.79
SYN0216,66.46,53.54,37.99,1.0,14.49
SYN0217,55.24,62.87,61.35,2.0,18.16
SYN0218,28.63,25.22,80.11,2.0,10.31
SYN0219,39.23,78.54,31.9,5.0,13.79
SYN0220,13.26,36.87,59.22,3.0,13.82
SYN0221,39.8,39.11,68.78,4.0,12.79
SYN0222,42.08,93.09,61.18,5.0,19.45
SYN0223,74.96,49.07,42.53,5.0,16.18
SYN0224,42.52,56.24,21.69,5.0,10.13
SYN0225,27.17,25.35,46.73,5.0,17.91
SYN0226,53.44,55.25,17.74,5.0,14.25
SYN0227,37.24,44.79,64.0,5.0,16.04
SYN0228,58.4,75.41,80.06,3.0,32.31
SYN0229,40.06,67.74,47.99,0.0,15.72
SYN0230,47.52,43.81,64.83,0.0,16.97
SYN0231,37.66,52.47,32.93,4.0,19.09
SYN0232,44.6,77.94,37.96,1.0,14.59
SYN0233,40.77,51.58,37.29,4.0,14.85
SYN0234,57.72,21.99,46.72,5.0,13.62
SYN0235,16.24,29.58,40.2,3.0,18.6
SYN0236,41.25,59.2,51.82,4.0,15.67
SYN0237,44.62,44.04,53.0,1.0,13.13
SYN0238,79.29,42.25,74.63,2.0,20.07
SYN0239,63.91,47.75,40.5,5.0,14.06
SYN0240,36.48,13.26,88.27,4.0,8.23
SYN0241,80.46,49.93,25.17,1.0,11.41
SYN0242,48.23,39.72,76.79,5.0,15.66
SYN0243,63.2,13.99,39.24,2.0,5.02
SYN0244,65.13,32.04,48.9,5.0,10.31
SYN0245,81.55,25.76,63.66,3.0,7.96
SYN0246,48.86,51.27,85.24,3.0,17.12
SYN0247,74.07,38.86,30.43,0.0,10.12
SYN0248,28.67,24.94,30.76,2.0,19.59
SYN0249,,76.26,57.63,4.0,29.39
SYN0250,54.83,,51.03,5.0,20.69
SYN0251,50.43,42.52,40.3,0.0,15.07
SYN0252,35.66,44.88,14.65,0.0,15.22
SYN0253,75.73,45.78,80.07,4.0,22.72
SYN0254,,51.97,64.0,2.0,19.22
SYN0255,51.03,33.36,77.47,5.0,16.25
SYN0256,44.37,77.76,84.9,0.0,22.92
SYN0257,9.56,63.7,48.34,2.0,10.63
SYN0258,69.64,43.14,68.82,0.0,12.9
SYN0259,24.24,46.88,49.67,4.0,13.96
SYN0260,72.02,40.27,55.84,5.0,15.12
SYN0261,67.71,29.66,87.89,0.0,15.33
SYN0262,51.35,70.24,52.63,1.0,20.35
SYN0263,22.02,,61.19,5.0,15.29
SYN0264,19.47,34.76,48.12,0.0,17.94
SYN0265,49.18,70.6,37.0,5.0,13.47
SYN0266,47.21,,79.62,5.0,20.54
SYN0267,13.98,51.53,26.24,0.0,13.45
SYN0268,,28.28,25.38,0.0,13.7
SYN0269,16.55,25.58,82.16,4.0,9.19
SYN0270,31.41,45.05,26.49,0.0,15.52
SYN0271,50.15,20.39,42.05,3.0,14.21
SYN0272,,47.41,54.35,0.0,13.92
SYN0273,25.09,64.5,32.38,3.0,10.45
SYN0274,,41.56,76.62,2.0,13.69
SYN0275,54.53,48.76,63.23,4.0,17.31
SYN0276,43.17,62.26,39.37,5.0,17.74
SYN0277,21.79,54.36,74.65,2.0,6.54
SYN0278,43.85,37.22,64.72,3.0,12.76
SYN0279,51.88,76.73,70.56,3.0,23.54
SYN0280,27.49,53.64,60.89,5.0,12.11
SYN0281,44.96,64.33,12.19,1.0,9.64
SYN0282,80.24,56.48,32.47,1.0,14.26
SYN0283,,53.01,45.45,2.0,11.9
SYN0284,63.13,45.11,55.96,4.0,16.57
SYN0285,84.8,61.05,,5.0,18.4
SYN0286,26.96,19.72,78.07,1.0,11.1
SYN0287,25.86,75.99,57.84,0.0,9.29
SYN0288,67.9,43.63,22.83,3.0,10.63
SYN0289,28.45,16.6,94.2,3.0,8.76
SYN0290,24.27,32.78,45.22,2.0,13.52
SYN0291,29.31,34.43,57.03,1.0,14.95
SYN0292,74.08,17.03,73.43,5.0,7.49
SYN0293,22.76,49.33,53.52,5.0,16.26
SYN0294,16.15,48.04,83.99,4.0,11.34
SYN0295,39.67,36.34,60.2,3.0,16.38
SYN0296,76.56,38.11,38.66,1.0,8.88
SYN0297,52.96,24.05,64.64,2.0,11.05
SYN0298,49.54,49.86,71.96,0.0,14.18
SYN0299,82.1,77.85,27.21,1.0,17.9
SYN0300,32.83,37.38,91.19,2.0,14.08
SYN0301,54.14,47.34,54.65,2.0,18.07
SYN0302,25.91,55.22,56.31,0.0,10.02
SYN0303,47.81,44.27,10.83,5.0,12.9
SYN0304,62.59,39.18,45.96,1.0,12.82
SYN0305,46.96,45.44,64.76,3.0,16.67
SYN0306,49.42,21.91,64.09,2.0,8.68
SYN0307,27.78,33.15,46.26,2.0,13.16
SYN0308,24.23,31.4,30.28,5.0,20.74
SYN0309,24.39,58.74,58.41,4.0,9.34
SYN0310,79.93,62.43,22.9,5.0,13.78
SYN0311,,58.71,77.81,2.0,15.32
SYN0312,,46.65,20.42,1.0,14.93
SYN0313,,65.38,76.0,2.0,25.1
SYN0314,34.42,,42.31,3.0,15.48
SYN0315,35.12,50.98,76.8,2.0,15.85
SYN0316,38.79,75.84,33.86,2.0,12.03
SYN0317,46.71,42.82,26.76,0.0,11.86
SYN0318,60.44,56.39,56.62,3.0,18.71
SYN0319,25.94,25.4,69.43,4.0,14.74
SYN0320,80.16,53.1,75.71,3.0,28.6
SYN0321,53.49,63.22,46.89,5.0,18.92
SYN0322,33.4,53.88,,5.0,16.57
SYN0323,76.66,68.54,31.42,5.0,17.43
SYN0324,67.98,62.17,42.94,0.0,16.38
SYN0325,67.15,53.63,15.0,5.0,10.94
SYN0326,91.55,51.22,44.09,2.0,16.57
SYN0327,67.96,51.8,71.23,2.0,19.3
SYN0328,51.42,35.2,55.89,2.0,15.89
SYN0329,64.88,13.68,57.92,1.0,8.57
SYN0330,70.54,61.09,56.7,5.0,22.03
SYN0331,11.32,63.6,58.32,3.0,9.75
SYN0332,12.25,65.12,27.92,5.0,10.73
SYN0333,23.05,3.31,49.47,5.0,23.0
SYN0334,61.51,29.97,67.62,2.0,10.36
SYN0335,35.26,42.8,50.81,4.0,14.8
SYN0336,14.84,42.43,24.68,3.0,18.19
SYN0337,33.54,67.12,53.4,2.0,14.34
SYN0338,48.59,37.66,70.0,4.0,13.95
SYN0339,60.38,27.52,71.82,4.0,8.5
SYN0340,28.91,71.09,77.77,5.0,12.93
SYN0341,,71.63,43.52,4.0,17.16
SYN0342,51.12,39.77,55.7,3.0,14.8
SYN0343,81.75,68.74,41.28,5.0,25.67
SYN0344,48.09,13.22,52.38,0.0,12.15
SYN0345,96.43,60.36,88.84,4.0,40.0
SYN0346,40.64,62.14,74.63,2.0,17.0
SYN0347,,77.51,84.33,2.0,22.05
SYN0348,59.57,10.84,26.31,4.0,9.52
SYN0349,72.35,26.5,27.98,1.0,6.93
SYN0350,23.94,48.27,67.75,5.0,11.61
SYN0351,27.7,29.69,70.25,2.0,15.57
SYN0352,,29.72,75.44,2.0,13.42
SYN0353,58.21,62.13,88.3,1.0,23.76
SYN0354,19.69,39.56,,2.0,14.23
SYN0355,48.56,70.38,40.4,5.0,16.85
SYN0356,77.5,67.74,43.69,0.0,20.3
SYN0357,48.4,64.67,90.01,3.0,21.84
SYN0358,57.5,53.14,74.09,5.0,19.57
SYN0359,92.48,53.35,84.1,2.0,31.8
SYN0360,56.41,69.27,16.55,3.0,10.98
SYN0361,61.44,36.23,79.54,2.0,14.69
SYN0362,74.37,,27.65,0.0,16.52
SYN0363,59.21,79.75,65.39,3.0,26.22
SYN0364,41.55,7.11,57.62,5.0,13.15
SYN0365,62.39,26.64,28.16,3.0,10.0
SYN0366,51.62,48.9,64.14,2.0,16.77
SYN0367,50.76,,39.83,0.0,15.79
SYN0368,63.98,,42.84,5.0,12.37
SYN0369,9.07,63.85,39.84,5.0,10.77
SYN0370,48.93,34.0,34.53,5.0,14.24
SYN0371,54.28,51.5,67.71,2.0,16.79
SYN0372,48.13,,65.1,3.0,14.31
SYN0373,43.15,31.4,51.23,2.0,12.98
SYN0374,42.93,52.84,34.63,1.0,13.43
SYN0375,29.72,38.63,43.7,1.0,13.6
SYN0376,53.49,,76.88,2.0,12.14
SYN0377,39.24,10.51,45.35,3.0,14.03
SYN0378,10.53,57.88,64.52,0.0,5.43
SYN0379,66.61,48.08,48.69,4.0,17.68
SYN0380,63.51,51.32,31.91,2.0,12.55
SYN0381,50.03,24.07,47.61,5.0,12.28
SYN0382,38.4,44.91,30.65,1.0,12.17
SYN0383,55.06,48.55,48.88,0.0,15.23
SYN0384,46.72,35.14,65.76,1.0,15.86
SYN0385,26.06,75.53,68.49,5.0,12.11
SYN0386,37.46,55.59,68.51,1.0,14.35
SYN0387,24.85,43.69,24.91,4.0,18.73
SYN0388,,52.48,39.99,5.0,11.88
SYN0389,33.33,14.13,16.43,1.0,25.35
SYN0390,74.56,10.24,74.72,3.0,8.69
SYN0391,,23.16,39.12,1.0,10.2
SYN0392,14.31,57.89,56.44,2.0,10.13
SYN0393,52.84,58.68,51.16,1.0,15.03
SYN0394,61.71,81.48,60.67,4.0,26.09
SYN0395,,46.78,47.5,5.0,15.37
SYN0396,29.36,39.22,66.71,1.0,14.5
SYN0397,48.56,57.81,57.54,1.0,16.08
SYN0398,15.95,36.86,44.43,4.0,15.69
SYN0399,10.84,68.98,32.62,2.0,7.3
SYN0400,54.16,,52.99,3.0,17.26
SYN0401,39.37,36.56,73.87,4.0,12.18
SYN0402,81.54,23.9,40.94,0.0,2.41
SYN0403,30.94,64.6,,5.0,17.48
SYN0404,46.92,,20.49,2.0,14.65
SYN0405,,11.82,55.76,3.0,10.13
SYN0406,30.52,60.76,37.93,2.0,11.67
SYN0407,47.68,39.13,89.0,4.0,16.56
SYN0408,34.47,40.41,22.65,3.0,19.09
SYN0409,63.45,28.98,74.02,1.0,13.31
SYN0410,45.56,40.7,21.08,1.0,10.88
SYN0411,29.22,,64.94,5.0,11.34
SYN0412,35.4,26.34,63.59,3.0,13.22
SYN0413,28.36,83.26,54.64,1.0,9.89
SYN0414,28.27,63.61,61.22,0.0,8.97
SYN0415,44.35,39.78,23.62,0.0,14.87
SYN0416,41.32,35.33,53.32,5.0,13.33
SYN0417,28.54,35.51,20.32,5.0,21.7
SYN0418,,66.8,38.31,2.0,19.32
SYN0419,45.57,35.41,40.64,1.0,13.35
SYN0420,37.52,38.32,69.07,2.0,14.52
SYN0421,37.79,36.5,41.35,0.0,12.14
SYN0422,30.28,59.31,25.11,3.0,13.56
SYN0423,72.33,54.99,44.28,3.0,16.42
SYN0424,79.71,26.75,84.38,5.0,12.02
SYN0425,67.09,41.05,39.42,1.0,11.78
SYN0426,82.53,,57.15,1.0,14.43
SYN0427,41.05,52.13,85.43,0.0,15.12
SYN0428,59.08,62.15,94.54,2.0,28.52
SYN0429,8.77,,76.59,3.0,12.03
SYN0430,,50.4,88.31,0.0,22.36
SYN0431,45.93,,56.73,4.0,14.74
SYN0432,12.93,42.33,89.12,2.0,11.37
SYN0433,,26.91,36.97,4.0,14.38
SYN0434,83.11,40.19,81.52,2.0,20.27
SYN0435,27.44,59.07,36.04,0.0,10.79
SYN0436,67.92,51.88,86.33,0.0,22.72
SYN0437,27.27,47.11,58.36,3.0,15.17
SYN0438,,33.57,35.88,3.0,12.69
SYN0439,48.51,74.34,23.36,4.0,14.32
SYN0440,31.36,39.9,37.72,5.0,15.7
SYN0441,81.25,34.96,,0.0,15.12
SYN0442,25.82,75.17,,1.0,8.07
SYN0443,46.54,65.29,27.75,1.0,10.57
SYN0444,64.4,71.49,66.55,0.0,23.13
SYN0445,16.42,57.35,87.33,0.0,7.69
SYN0446,10.77,90.18,36.89,0.0,0.0
SYN0447,49.43,43.05,67.87,3.0,12.41
SYN0448,41.45,44.96,22.65,0.0,13.25
SYN0449,31.34,40.23,51.41,1.0,16.77
SYN0450,72.98,54.71,52.15,0.0,20.03
SYN0451,79.23,50.24,46.65,4.0,16.15
SYN0452,52.12,55.32,13.61,3.0,9.24
SYN0453,62.98,32.46,69.55,5.0,15.32
SYN0454,47.58,57.98,61.07,0.0,12.22
SYN0455,58.91,64.4,67.94,1.0,23.73
SYN0456,39.83,49.55,45.9,2.0,13.93
SYN0457,50.36,33.55,59.6,3.0,17.04
SYN0458,28.93,75.66,48.01,0.0,7.19
SYN0459,54.07,66.31,77.12,1.0,24.14
SYN0460,18.79,59.82,49.09,2.0,10.83
SYN0461,39.17,22.18,84.12,0.0,9.47
SYN0462,21.44,50.84,58.68,2.0,10.1
SYN0463,35.48,59.63,43.25,4.0,15.01
SYN0464,58.01,,54.88,3.0,14.94
SYN0465,52.01,33.17,41.62,2.0,16.27
SYN0466,55.54,62.61,55.48,2.0,20.16
SYN0467,5.99,50.92,42.23,5.0,12.82
SYN0468,8.71,37.27,46.76,3.0,15.21
SYN0469,42.59,42.06,65.91,3.0,12.52
SYN0470,40.37,18.53,56.47,5.0,16.99
SYN0471,72.04,53.55,58.69,0.0,17.75
SYN0472,28.97,88.05,74.54,0.0,15.8
SYN0473,16.27,52.54,42.0,2.0,13.72
SYN0474,62.58,57.06,55.02,1.0,18.76
SYN0475,40.98,44.1,48.77,1.0,13.56
SYN0476,95.43,32.2,20.09,0.0,2.2
SYN0477,81.54,42.75,35.14,5.0,12.2
SYN0478,44.95,42.91,55.23,3.0,14.27
SYN0479,38.85,70.16,80.02,4.0,19.99
SYN0480,62.5,33.61,32.42,0.0,10.31
SYN0481,42.88,64.97,16.46,2.0,9.48
SYN0482,35.72,35.12,58.73,3.0,15.49
SYN0483,83.52,58.72,91.45,3.0,34.34
SYN0484,23.76,21.96,68.4,4.0,15.43
SYN0485,68.29,,36.54,4.0,15.36
SYN0486,50.38,,49.4,2.0,11.91
SYN0487,31.45,18.31,39.96,4.0,21.68
SYN0488,37.06,31.25,64.64,1.0,15.89
SYN0489,53.99,52.56,76.8,0.0,19.91
SYN0490,61.87,53.28,60.03,5.0,18.7
SYN0491,58.17,16.76,92.76,0.0,7.13
SYN0492,41.37,55.25,49.67,1.0,16.62
SYN0493,38.79,41.71,74.91,0.0,12.8
SYN0494,52.49,32.27,55.15,1.0,11.81
SYN0495,16.4,32.63,45.17,2.0,20.68
SYN0496,53.85,54.51,41.36,0.0,14.13
SYN0497,19.95,42.34,,2.0,21.02
SYN0498,29.98,30.5,26.82,5.0,16.88
SYN0499,77.62,38.34,70.34,0.0,16.74
SYN0500,32.33,,76.81,5.0,17.3
SYN0501,42.3,38.0,43.31,2.0,14.45
SYN0502,27.45,20.08,39.32,3.0,18.88
